[11:24:56]设备[ID107Plus HR]E7:C1:25:A9:23:99连接了.....
[11:29:08] b2 65
[11:29:09] b2 65
[11:29:10] b2 65
[11:29:11] b2 65
[11:29:12] b2 65
[11:29:13] b2 65
[11:29:14] b2 65
[11:29:15] b2 65
[11:29:16] b2 65
[11:29:17] b3 65
[11:29:18] b3 65
[11:29:19] b3 65
[11:29:20] b3 65
[11:29:21] b2 65
[11:29:22] b2 65
[11:29:23] b1 65
[11:29:24] b1 65
[11:29:25] b1 65
[11:29:26] b0 65
[11:29:27] b0 65
[11:29:28] b0 65
[11:29:29] b0 65
[11:29:30] b0 65
[11:29:31] b0 65
[11:29:32] b0 65
[11:29:33] b0 65
[11:29:34] af 65
[11:29:35] af 65
[11:29:36] b0 65
[11:29:37] b0 65
[11:29:38] b0 65
[11:29:39] b1 65
[11:29:40] b0 65
[11:29:41] b0 65
[11:29:42] b0 65
[11:29:43] b1 65
[11:29:44] b0 65
[11:29:45] b0 65
[11:29:46] b0 65
[11:29:47] b0 65
[11:29:48] b0 65
[11:29:49] b1 65
[11:29:50] b1 65
[11:29:51] b1 65
[11:29:52] b2 65
[11:29:53] b2 65
[11:29:54] b2 65
[11:29:55] b2 65
[11:29:56] b2 65
[11:29:57] b3 65
[11:29:58] b3 65
[11:29:59] b3 65
[11:30:00] b4 65
[11:30:01] b4 65
[11:30:02] b4 65
[11:30:03] b4 65
[11:30:04] b4 65
[11:30:05] b4 65
[11:30:06] b4 65
[11:30:07] b4 65
[11:30:08] b5 65
[11:30:09] b5 65
[11:30:10] b5 65
[11:30:11] b5 65
[11:30:12] b4 65
[11:30:13] b4 65
[11:30:14] b4 65
[11:30:15] b4 65
[11:30:16] b4 65
[11:30:17] b4 65
[11:30:18] b4 65
[11:30:19] b4 65
[11:30:20] b4 65
[11:30:21] b4 65
[11:30:22] b3 65
[11:30:23] b2 65
[11:30:24] b2 65
[11:30:25] b2 65
[11:30:26] b2 65
[11:30:27] b3 65
[11:30:28] b3 65
[11:30:29] b3 65
[11:30:30] b3 65
[11:30:31] b3 65
[11:30:32] b3 65
[11:30:33] b3 65
[11:30:34] b3 65
[11:30:35] b2 65
[11:30:36] b3 65
[11:30:37] b3 65
[11:30:38] b3 65
[11:30:39] b4 65
[11:30:40] b4 65
[11:30:41] b4 65
[11:30:42] b4 65
[11:30:43] b4 65
[11:30:44] b4 65
[11:30:45] b3 65
[11:30:46] b3 65
[11:30:47] b3 65
[11:30:48] b4 65
[11:30:49] b4 65
[11:30:50] b5 65
[11:30:51] b5 65
[11:30:52] b5 65
[11:30:53] b6 65
[11:30:54] b6 65
[11:30:55] b6 65
[11:30:56] b5 65
[11:30:57] b5 65
[11:30:58] b4 65
[11:30:59] b3 65
[11:31:00] b3 65
[11:31:01] b3 65
[11:31:02] b3 65
[11:31:03] b3 65
[11:31:04] b4 65
[11:31:05] b4 65
[11:31:06] b3 65
[11:31:07] b4 65
[11:31:08] b4 65
[11:31:09] b4 65
[11:31:10] b4 65
[11:31:11] b4 65
[11:31:12] b4 65
[11:31:13] b4 65
[11:31:14] b4 65
[11:31:15] b4 65
[11:31:16] b5 65
[11:31:17] b5 65
[11:31:18] b5 65
[11:31:19] b5 65
[11:31:20] b5 65
[11:31:21] b5 65
[11:31:22] b4 65
[11:31:23] b4 65
[11:31:24] b3 65
[11:31:25] b3 65
[11:31:26] b3 65
[11:31:27] b3 65
[11:31:28] b3 65
[11:31:29] b4 65
[11:31:30] b4 65
[11:31:31] b3 65
[11:31:32] b3 65
[11:31:33] b3 65
[11:31:34] b3 65
[11:31:35] b3 65
[11:31:36] b3 65
[11:31:37] b4 65
[11:31:38] b4 65
[11:31:39] b4 65
[11:31:40] b4 65
[11:31:41] b4 65
[11:31:42] b4 65
[11:31:43] b5 65
[11:31:44] b5 65
[11:31:45] b5 65
[11:31:46] b5 65
[11:31:47] b4 65
[11:31:48] b4 65
[11:31:49] b4 65
[11:31:50] b4 65
[11:31:51] b4 65
[11:31:52] b4 65
[11:31:53] b3 65
[11:31:54] b3 65
[11:31:55] b3 65
[11:31:56] b3 65
[11:31:57] b3 65
[11:31:58] b4 65
[11:31:59] b5 65
[11:32:00] b6 65
[11:32:01] b6 65
[11:32:02] b6 65
[11:32:03] b7 65
