[11:05:22]设备[Polar H10 0C03EA29]E3:A5:3C:52:17:FA连接了.....
[11:10:19] 8a 101
[11:10:19] 8a 101
[11:10:19] 8a 101
[11:10:19] 8a 101
[11:10:20] 8a 137
[11:10:20] 8a 101
[11:10:20] 8a 101
[11:10:20] 8a 101
[11:10:20] 8a 101
[11:10:20] 8a 101
[11:10:20] 8a 101
[11:10:20] 8a 101
[11:10:21] 8a 101
[11:10:21] 8a 137
[11:10:21] 8a 101
[11:10:22] 8a 101
[11:10:22] 8a 101
[11:10:22] 8a 101
[11:10:22] 8a 101
[11:10:22] 8a 101
[11:10:22] 8a 101
[11:10:22] 8a 137
[11:10:23] 8a 101
[11:10:23] 8a 101
[11:10:23] 8a 101
[11:10:23] 8a 101
[11:10:23] 8a 101
[11:10:23] 8a 101
[11:10:23] 8a 101
[11:10:23] 8a 101
[11:10:23] 8a 137
[11:10:24] 8b 101
[11:10:24] 8b 101
[11:10:24] 8b 101
[11:10:24] 8b 101
[11:10:24] 8b 137
[11:10:24] 8b 101
[11:10:24] 8b 101
[11:10:24] 8b 101
[11:10:25] 8b 137
[11:10:25] 8b 101
[11:10:25] 8b 101
[11:10:25] 8b 101
[11:10:25] 8b 101
[11:10:25] 8b 101
[11:10:25] 8b 101
[11:10:25] 8b 101
[11:10:25] 8b 101
[11:10:26] 89 140
[11:10:26] 89 101
[11:10:26] 89 101
[11:10:26] 89 101
[11:10:26] 89 101
[11:10:26] 89 101
[11:10:26] 89 101
[11:10:26] 89 101
[11:10:27] 89 101
[11:10:27] 87 140
[11:10:27] 87 102
[11:10:28] 87 102
[11:10:28] 87 102
[11:10:28] 87 102
[11:10:28] 87 102
[11:10:28] 87 102
[11:10:28] 87 102
