[16:32:42]设备[Polar H10 082A5724]EE:E4:E7:AD:42:9B连接了.....
[16:32:47]设备[C5:F7:76:AF:E2:E0断开了.....
[16:32:59]设备[ID107Plus HR]C5:F7:76:AF:E2:E0连接了.....
[16:33:10] 00 41 60 81 79 60 81 79 60 81 79 60 81 79 1a 4a 1a 48 00 01 44 
[16:33:10] 00 41 60 81 79 60 81 79 60 81 79 60 81 79 1a 4d 1a 44 00 01 45 
[16:33:10] 00 41 60 81 79 60 81 79 60 81 79 60 81 79 1a 4f 1a 6f 00 01 46 
[16:33:11] 00 41 60 81 79 60 81 79 60 81 79 60 81 79 1a 71 1a 6a 00 01 47 
[16:33:11] 00 41 60 81 79 60 81 79 60 81 79 60 81 79 1a 4b 1a 4c 00 01 48 
[16:33:11] 00 41 60 81 79 60 81 79 60 81 79 60 81 79 1a 45 1a 47 00 01 49 
[16:33:11] 00 41 60 81 79 60 81 79 60 81 79 60 81 79 1a 42 1a 52 00 01 4a 
[16:33:11] 00 41 60 81 79 60 81 79 60 81 79 60 81 79 1a 4a 1a 4d 00 01 4b 
[16:33:11] 00 41 60 81 79 60 81 79 60 81 79 60 81 79 1a 49 1a 51 00 01 4c 
[16:33:11] 00 41 60 81 79 60 81 79 60 81 79 60 81 79 1a 43 1a 48 00 01 4d 
[16:33:11] 00 41 60 81 79 60 81 79 60 81 79 60 81 79 1a 40 1a 4b 00 01 4e 
[16:33:11] 00 41 60 81 79 60 81 79 61 81 79 61 81 79 1a 45 1a 48 00 01 4f 
[16:33:11] 00 00 60 81 79 60 81 79 60 81 79 60 81 79 1a 48 1a 5c 00 02 50 
[16:33:11] 00 00 60 81 79 60 81 79 60 81 79 60 81 79 1a 6f 1a 66 00 02 51 
[16:33:11] 00 00 60 81 79 60 81 79 60 81 79 60 81 79 1a 6b 1a 6b 00 02 52 
[16:33:12] 00 00 60 81 79 60 81 79 60 81 79 60 81 79 1a 6a 1a 68 00 02 53 
[16:33:12] 00 00 60 81 79 60 81 79 60 81 79 60 81 79 1a 68 1a 5f 00 02 54 
[16:33:12] 00 00 60 81 79 60 81 79 60 81 79 60 81 79 1a 6c 1a 63 00 02 55 
[16:33:12] 00 00 60 81 79 60 81 79 60 81 79 60 81 79 1a 6d 1a 62 00 02 56 
[16:33:12] 00 00 60 81 79 60 81 79 60 81 79 60 81 79 1a 6b 1a 63 00 02 57 
[16:33:12] 00 00 60 81 79 60 81 79 60 81 79 60 81 79 1a 6c 1a 6a 00 02 58 
[16:33:12] 00 00 60 81 79 60 81 79 60 81 79 60 81 79 1a 6e 1a 62 00 02 59 
[16:33:12] 00 00 60 81 79 60 81 79 60 81 79 60 81 79 1a 66 1a 61 00 02 5a 
[16:33:12] 00 10 11 01 04 1e 01 01 
[16:33:12] 00 00 60 81 79 60 81 79 60 81 79 60 81 79 1a 6d 1a 6d 00 02 5b 
[16:33:12] 00 00 60 81 79 60 81 79 60 81 79 60 81 79 1a 61 1a 64 00 02 5c 
[16:33:12] 00 00 60 81 79 60 81 79 60 81 79 60 81 79 1a 6c 1a 6c 00 02 5d 
[16:33:12] 00 00 60 81 79 60 81 79 60 81 79 60 81 79 1a 69 1a 63 00 02 5e 
[16:33:12] 00 00 60 81 79 60 81 79 60 81 79 60 81 79 1a 69 1a 66 00 01 5f 
[16:33:13] 00 00 60 81 79 60 81 79 60 81 79 60 81 79 1a 67 1a 64 00 01 60 
[16:33:13] 00 00 60 81 79 60 81 79 60 81 79 60 81 79 1a 6c 1a 68 00 01 61 
[16:33:13] 00 00 60 81 79 60 81 79 60 81 79 60 81 79 1a 66 1a 60 00 01 62 
[16:33:13] 00 00 60 81 79 60 81 79 60 81 79 60 81 79 1a 61 1a 78 00 01 63 
[16:33:13] 00 00 60 81 79 60 81 79 60 81 79 60 81 79 1a 6d 1a 6d 00 01 64 
