[16:42:25]设备[Polar H10 082A5724]EE:E4:E7:AD:42:9B连接了.....
[16:42:29]设备[C5:F7:76:AF:E2:E0断开了.....
[16:42:41]设备[ID107Plus HR]C5:F7:76:AF:E2:E0连接了.....
[16:42:54] 00 00 80 80 64 80 80 65 80 80 66 80 80 67 16 39 16 33 00 01 48 
[16:42:54] 00 00 80 80 68 80 80 69 80 80 6a 80 80 6b 16 37 16 3d 00 01 49 
[16:42:54] 00 00 80 80 6c 80 80 6d 80 80 6e 80 80 6f 16 3b 16 37 00 01 4a 
[16:42:54] 00 00 80 80 70 80 80 71 80 80 72 80 80 73 16 38 16 3a 00 01 4b 
[16:42:54] 00 00 80 80 74 80 80 75 80 80 76 80 80 77 16 3a 16 33 00 01 4c 
[16:42:55] 00 00 80 80 78 80 80 79 80 80 7a 80 80 7b 16 3e 16 3e 00 01 4d 
[16:42:55] 00 00 80 80 7c 80 80 7d 80 80 7e 80 80 7f 16 41 16 36 00 01 4e 
[16:42:55] 00 00 80 80 80 80 80 81 80 80 82 80 80 83 16 36 16 41 00 01 4f 
[16:42:55] 00 00 80 80 84 80 80 85 80 80 86 80 80 87 16 40 16 38 00 01 50 
[16:42:55] 00 00 80 80 88 80 80 89 80 80 8a 80 80 8b 16 3f 16 45 00 01 51 
[16:42:55] 00 00 80 80 8c 80 80 8d 80 80 8e 80 80 8f 16 42 16 5c 00 01 52 
[16:42:55] 00 00 80 80 90 80 80 91 80 80 92 80 80 93 16 5e 16 59 00 01 53 
[16:42:55] 00 00 80 80 96 80 80 97 80 80 98 80 80 99 16 5a 16 60 00 02 54 
[16:42:55] 00 00 80 80 9a 80 80 9b 80 80 9c 80 80 9d 16 62 16 60 00 02 55 
[16:42:55] 00 00 80 80 9e 80 80 9f 80 80 a0 80 80 a1 16 5e 16 5f 00 02 56 
[16:42:55] 00 00 80 80 a2 80 80 a3 80 80 a4 80 80 a5 16 5a 16 50 00 02 57 
[16:42:55] 00 00 80 80 a6 80 80 a7 80 80 a8 80 80 a9 16 5d 16 58 00 02 58 
[16:42:55] 00 00 80 80 aa 80 80 ab 80 80 ac 80 80 ad 16 5b 16 62 00 02 59 
[16:42:56] 00 00 80 80 ae 80 80 af 80 80 b0 80 80 b1 16 62 16 5c 00 02 5a 
[16:42:56] 00 00 80 80 b2 80 80 b3 80 80 b4 80 80 b5 16 63 16 61 00 02 5b 
[16:42:56] 00 00 80 80 b6 80 80 b7 80 80 b8 80 80 b9 16 61 16 54 00 02 5c 
[16:42:56] 00 10 11 01 04 27 16 01 
[16:42:56] 00 00 80 80 ba 80 80 bb 80 80 bc 80 80 bd 16 5e 16 5b 00 02 5d 
[16:42:56] 00 00 80 80 be 80 80 bf 80 80 c0 80 80 c1 16 5f 16 5d 00 02 5e 
[16:42:56] 00 00 80 80 c2 80 80 c3 80 80 c4 80 80 c5 16 5e 16 66 00 02 5f 
[16:42:56] 00 00 80 80 c6 80 80 c7 80 80 c8 80 80 c9 16 5f 16 61 00 02 60 
[16:42:56] 00 00 80 80 ca 80 80 cb 80 80 cc 80 80 cd 16 62 16 60 00 02 61 
[16:42:56] 00 00 80 80 ce 80 80 cf 80 80 d0 80 80 d1 16 5d 16 56 00 02 62 
[16:42:56] 00 00 80 80 d3 80 80 d4 80 80 d5 80 80 d6 16 5f 16 5f 00 01 63 
[16:42:56] 00 00 80 80 d7 80 80 d8 80 80 d9 80 80 da 16 6b 16 6f 00 01 64 
[16:42:56] 00 00 80 80 db 80 80 dc 80 80 dd 80 80 de 16 6c 16 66 00 01 65 
[16:42:57] 00 00 80 80 df 80 80 e0 80 80 e1 80 80 e2 16 69 16 66 00 01 66 
[16:42:57] 00 00 80 80 e3 80 80 e4 80 80 e5 80 80 e6 16 62 16 6d 00 01 67 
[16:42:57] 00 00 80 80 e7 80 80 e8 80 80 e9 80 80 ea 16 67 16 65 00 01 68 
[16:42:57] 00 00 80 80 eb 80 80 ec 80 80 ed 80 80 ee 16 6a 16 63 00 01 69 
[16:42:57] 00 00 80 80 ef 80 80 f0 80 80 f1 80 80 f2 16 69 16 65 00 01 6a 
[16:42:57] 00 00 80 80 f3 80 80 f4 80 80 f5 80 80 f6 16 62 16 6e 00 01 6b 
[16:42:57] 00 00 80 80 f7 80 80 f8 80 80 f9 80 80 fa 16 6a 16 68 00 01 6c 
[16:42:57] 00 00 80 80 fb 80 80 fc 80 80 fd 80 80 fe 16 64 16 58 00 01 6d 
[16:42:57] 00 00 80 80 ff 80 80 00 80 80 01 80 80 02 16 61 16 65 00 01 6e 
[16:42:57] 00 00 80 80 03 80 80 04 80 80 05 80 80 06 16 68 16 67 00 01 6f 
[16:42:57] 00 00 80 80 07 80 80 08 80 80 09 80 80 0a 16 6a 16 68 00 01 70 
[16:42:57] 00 00 80 80 0b 80 80 0c 80 80 0d 80 80 0e 16 6b 16 6c 00 01 71 
[16:42:58] 00 41 80 80 11 80 80 12 80 80 13 80 80 14 16 71 16 6d 00 02 72 
[16:42:58] 00 41 80 80 15 80 80 16 80 80 17 80 80 18 16 63 16 62 00 02 73 
[16:42:58] 00 41 80 80 19 80 80 1a 80 80 1b 80 80 1c 16 6f 16 67 00 02 74 
[16:42:58] 00 41 80 80 1d 80 80 1e 80 80 1f 80 80 20 16 67 16 64 00 02 75 
[16:42:58] 00 10 11 01 04 27 16 01 
[16:42:58] 00 41 80 80 21 80 80 22 80 80 23 80 80 24 16 68 16 6b 00 02 76 
[16:42:58] 00 41 80 80 25 80 80 26 80 80 27 80 80 28 16 6b 16 6b 00 02 77 
[16:42:58] 00 41 80 80 29 80 80 2a 80 80 2b 80 80 2c 16 62 16 5e 00 02 78 
[16:42:58] 00 41 80 80 2d 80 80 2e 80 80 2f 80 80 30 16 63 16 6c 00 02 79 
[16:42:58] 00 41 80 80 31 80 80 32 80 80 33 80 80 34 16 68 16 6d 00 02 7a 
[16:42:58] 00 41 80 80 35 80 80 36 80 80 37 80 80 38 16 6a 16 66 00 02 7b 
